Month	Hour	Station_Type	Area	Pm25	Precipitation	Wind_direction	Wind_speed	Air_temperature	Air_humedity
November	9	Traffic	South	37,0586	0	81,8835	1,01531	21,4051	63,7597
November	10	Traffic	South	34,7933	0	52,7386	0,915398	22,4714	58,5394
November	11	Traffic	South	39,5216	0	93,8435	0,937992	21,9432	61,661
November	12	Traffic	South	48,0962	0	125,609	0,261067	23,1213	57,3407
November	13	Traffic	South	43,322	0	107,782	0,741148	23,3636	54,1883
November	14	Traffic	South	44,4174	0	40,3369	2,44816	22,6446	56,5715
November	15	Traffic	South	34,6628	0	26,7708	1,21657	21,3629	61,0994
November	16	Traffic	South	30,9753	0,3	39,9064	0,317218	20,3989	68,4447
November	17	Traffic	South	32,0958	0	244,082	0,657287	19,7522	74,3749
November	18	Traffic	South	37,8821	0	236,95	0,498814	18,5407	76,9603
November	19	Traffic	South	31,8344	0	247,411	0,285673	17,3668	79,4111
November	20	Traffic	South	41,2408	0	256,844	0,17393	17,1839	81,8003
November	21	Traffic	South	47,1771	0	232,034	0,13971	17,4597	81,1171
November	22	Traffic	South	48,3762	0	261,368	0,168617	17,5782	81,7496
November	23	Traffic	South	50,7262	0	220,191	0,137241	17,5218	83,2181
November	0	Traffic	South	53,0517	0	250,57	0,190587	17,3363	83,5083
November	1	Traffic	South	41,2338	0	252,539	0,178731	17,135	85,3092
November	2	Traffic	South	42,3984	0	253,189	0,249439	17,0424	85,3706
November	3	Traffic	South	45,9612	0	91,1207	0,0840088	17,229	85,0321
November	4	Traffic	South	45,9689	0	78,6038	0,301814	17,2778	83,4383
November	5	Traffic	South	35,3413	0	64,1197	0,184391	17,119	82,3764
November	6	Traffic	South	40,036	0	30,3811	0,1693	16,9924	83,3692
November	7	Traffic	South	36,5255	0	5,06411	0,0779081	17,1679	82,322
November	8	Traffic	South	47,3606	0	53,5887	0,141081	18,5903	75,6607
November	9	Traffic	South	52,5027	0	82,3911	0,527785	20,864	62,4596
November	10	Traffic	South	44,3526	0	78,2285	0,94579	22,2133	56,8297
November	11	Traffic	South	34,9863	0	85,2822	0,899072	24,1118	47,8431
November	12	Traffic	South	36,3705	0	280,742	0,307013	25,5715	40,5433
November	13	Traffic	South	48,6737	0	284,511	0,817541	26,6785	37,7639
November	14	Traffic	South	42,6967	0	145,455	1,396	27,4335	38,8379
November	15	Traffic	South	34,1719	0	174,806	2,00804	27,5617	42,5278
November	16	Traffic	South	23,1645	0	197,19	1,68721	27,2554	42,1796
November	17	Traffic	South	16,9747	0	13,0983	1,26863	25,6035	45,126
November	20	Traffic	South	22,776	0	85,8005	1,80486	22,2175	63,3925
November	21	Traffic	South	35,8641	0	106,02	0,584583	21,4129	69,0826
November	22	Traffic	South	38,1906	0	77,04	1,24875	20,9163	72,1283
November	23	Traffic	South	34,5356	0	81,0202	1,1388	20,2822	74,3517
November	0	Traffic	South	29,7282	0	75,5867	1,10131	19,8503	76,5147
November	1	Traffic	South	30,9088	0	79,0558	0,947076	19,7694	76,2104
November	2	Traffic	South	34,4524	0	67,7988	1,17619	19,5751	76,6989
November	3	Traffic	South	24,9317	0	67,5457	0,684553	19,3808	77,4857
November	4	Traffic	South	36,7307	0	75,1019	0,687524	18,7989	80,5969
November	5	Traffic	South	36,6871	0	40,6078	0,25245	18,4517	81,5404
November	6	Traffic	South	49,6484	0	241,279	0,569191	18,1193	82,5978
November	7	Traffic	South	70,987	0	186,449	0,0336228	18,3687	80,4022
November	8	Traffic	South	72,479	0	33,4219	0,852372	19,6162	75,6394
November	9	Traffic	South	47,9518	0	81,287	0,631131	22,2318	61,2617
November	10	Traffic	South	39,6895	0	84,406	1,25144	23,1968	54,5951
November	11	Traffic	South	45,9	0	95,3826	0,996089	24,474	49,3629
November	12	Traffic	South	42,0636	0	193,117	2,20058	22,9764	56,9338
November	13	Traffic	South	21,7958	0	246,834	0,938049	25,209	49,3569
November	15	Traffic	South	54,6918	0,9	191,953	4,22219	19,8068	68,5431
November	16	Traffic	South	24,8992	0	220,684	4,34616	18,9994	69,2972
November	18	Traffic	South	13,0727	0	217,022	1,88035	19,6765	70,2525
November	19	Traffic	South	30,8037	0	215,141	3,26623	18,7735	74,6531
November	20	Traffic	South	46,0612	0	228,066	3,69368	17,861	76,2588
November	21	Traffic	South	38,9432	0	218,878	3,3055	17,6244	74,5242
November	22	Traffic	South	37,7016	0	225,758	2,5194	17,1511	76,8803
November	23	Traffic	South	38,8162	0	217,292	0,875267	16,6763	79,7657
November	0	Traffic	South	59,9511	0	224,52	2,10956	16,495	80,5761
November	1	Traffic	South	46,9994	0	224,649	1,85923	16,3651	80,7818
November	2	Traffic	South	42,3111	0	232,245	1,50998	16,4446	79,8221
November	3	Traffic	South	34,1149	0	224,719	0,226062	16,7082	79,6429
November	4	Traffic	South	36,4236	0	237,27	1,66588	16,3574	81,1615
November	5	Traffic	South	45,8453	0	220,121	0,931117	16,4972	80,2733
November	6	Traffic	South	41,1526	0	234,807	0,706092	16,5629	80,4467
November	7	Traffic	South	58,9102	0	219,561	0,808811	17,1582	77,7761
November	8	Traffic	South	65,2782	0	226,813	1,30652	19,2949	69,2692
November	9	Traffic	South	56,2913	0	209,053	0,296841	21,9589	59,7846
November	10	Traffic	South	30,0853	0	136,016	1,33441	23,3697	55,8438
November	11	Traffic	South	27,7275	0	182,349	1,5919	23,895	53,4192
November	12	Traffic	South	27,7003	0	166,533	2,78283	23,6036	54,4885
November	13	Traffic	South	23,9439	0	167,786	2,22411	21,8378	64,2118
November	14	Traffic	South	26,6263	0	149,696	2,1465	25,0633	51,9304
November	15	Traffic	South	40,6546	1,2	182,67	2,78655	21,4751	68,6968
November	16	Traffic	South	26,2281	0,5	199,186	0,972884	20,6035	75,4972
November	17	Traffic	South	46,6734	0	119,188	0,560907	21,7289	68,7289
November	18	Traffic	South	50,0691	0	174,027	0,244654	20,5874	74,0156
November	19	Traffic	South	49,8572	0	194,954	0,146338	19,3443	79,5667
November	20	Traffic	South	53,3176	0	215,224	0,14194	18,7922	81,5646
November	21	Traffic	South	67,4371	0	235,919	0,303399	18,3665	81,6258
November	22	Traffic	South	64,9621	0	242,856	0,689391	17,8789	82,084
November	23	Traffic	South	63,7032	0	215,935	1,74651	17,5239	81,5903
November	0	Traffic	South	50,6487	0	226,963	1,59181	17,0774	81,1232
November	1	Traffic	South	43,5787	0	222,329	1,41289	17,0593	81,8279
November	2	Traffic	South	60,0755	0	232,206	1,00577	17,0958	81,1133
November	3	Traffic	South	63,6646	0	228,853	0,331634	17,3478	81,6226
November	4	Traffic	South	62,4414	0	239,49	0,945062	17,1422	81,7706
November	5	Traffic	South	57,7183	0	216,484	1,83322	17,0892	81,6551
November	6	Traffic	South	57,7157	0	242,322	1,62452	17,0763	81,7007
November	7	Traffic	South	74,2268	0	240,677	0,507273	17,1582	81,8444
November	8	Traffic	South	98,3855	0	176,286	0,389811	18,9233	75,0638
November	9	Traffic	South	75,3472	0	306,945	0,498873	21,5401	64,4757
November	10	Traffic	South	61,1908	0	69,9929	0,30261	22,4843	60,4811
November	11	Traffic	South	56,7026	0	110,721	1,13153	24,1151	53,8022
November	12	Traffic	South	56,7315	0	104,544	0,36255	24,2668	52,92
November	13	Traffic	South	46,6776	17,4	71,7689	1,31595	21,7553	63,1315
November	14	Traffic	South	53,0525	10,7	266,818	1,20593	17,3408	85,3476
November	15	Traffic	South	38,9853	0,2	139,015	0,633779	17,939	83,7704
November	16	Traffic	South	52,1633	0	294,491	0,117092	18,9635	80,2881
November	17	Traffic	South	58,1854	0	320,036	0,11482	19,4382	75,9907
November	18	Traffic	South	61,6554	0	257,479	0,154472	19,0003	79,6379
November	19	Traffic	South	57,9023	0	247,235	0,332525	18,0144	82,1651
November	20	Traffic	South	80,1472	0	246,047	1,32137	17,2646	82,13
November	21	Traffic	South	65,8653	0	253,169	1,03106	16,6562	83,1824
November	22	Traffic	South	65,8373	0	234,071	1,7561	16,5331	82,9749
November	23	Traffic	South	62,2705	0	220,011	2,30315	16,3476	82,1233
November	0	Traffic	South	55,1407	0	223,301	2,56037	15,9267	82,575
November	1	Traffic	South	60,9366	0	237,114	3,11811	15,5943	82,7844
November	2	Traffic	South	50,3672	0	220,583	2,05922	15,4647	82,3811
November	3	Traffic	South	46,8037	0	231,16	1,66694	15,1599	83,309
November	4	Traffic	South	62,0367	0	222,38	2,10352	15,2611	82,1531
November	5	Traffic	South	50,3506	0	231,245	2,13879	15,3694	81,7604
November	6	Traffic	South	58,5666	0	218,996	1,45788	15,4649	81,5883
November	7	Traffic	South	78,6347	0	234,662	1,77713	16,0367	80,0378
November	8	Traffic	South	80,4447	0	254,448	0,384597	18,3425	72,4429
November	9	Traffic	South	67,8863	0	139,862	0,533911	20,3081	66,2992
November	10	Traffic	South	87,6191	0	97,4961	0,653489	22,5933	58,2097
November	11	Traffic	South	63,9772	0	106,146	1,14382	24,2825	50,0468
November	12	Traffic	South	71,4886	0	156,761	0,205911	25,4044	45,5099
November	13	Traffic	South	53,5166	0	162,685	1,15399	26,5418	43,7464
November	14	Traffic	South	42,6563	0	187,219	1,79809	27,1493	42,0576
November	17	Traffic	South	26,2077	0,7	245,337	1,16941	20,3749	78,6133
November	18	Traffic	South	22,5965	0	205,287	0,419641	19,8894	78,1672
November	19	Traffic	South	60,5969	0,7	267,475	0,490495	19,6149	82,266
November	20	Traffic	South	62,8796	7,4	213,903	0,258728	19,1797	84,7889
November	21	Traffic	South	65,175	0,1	249,76	0,57008	18,8326	86,5946
November	22	Traffic	South	50,9724	0,1	250,661	0,51564	18,9322	85,0233
November	23	Traffic	South	48,5937	1,9	301,692	0,0808382	18,8853	86,5612
November	0	Traffic	South	48,5106	0,3	234,939	0,148083	18,3858	86,3625
November	1	Traffic	South	28,3999	0,9	238,941	0,304937	18,4206	86,6178
November	2	Traffic	South	27,1928	0,6	161,238	0,203573	18,1664	87,2068
November	3	Traffic	South	39,0134	0	85,5171	0,142529	18,1489	87,2736
November	4	Traffic	South	42,5586	0	52,0413	0,310446	18,1385	87,6751
November	5	Traffic	South	39,0009	0,5	142,804	0,161611	18,0558	88,6103
November	6	Traffic	South	47,2862	0	231,094	0,124513	18,1319	87,091
November	7	Traffic	South	53,2216	0	203,452	0,152423	18,2665	86,2828
November	8	Traffic	South	58,0755	0,1	16,3298	0,196205	18,8856	83,6278
November	9	Traffic	South	54,6803	0,1	68,8115	0,396815	19,745	80,4449
November	10	Traffic	South	56,3537	0	72,9246	0,539	22,2861	67,8332
November	11	Traffic	South	60,1883	0	61,8299	0,862087	23,4568	61,9854
November	12	Traffic	South	60,3635	0	124,157	1,00998	24,3201	57,5668
November	13	Traffic	South	60,4952	0	166,396	1,09591	24,969	54,164
November	14	Traffic	South	65,3167	0	166,245	2,04892	24,8864	55,9078
November	15	Traffic	South	54,6266	0	158,762	1,70714	25,9599	49,7713
November	16	Traffic	South	39,8791	0	69,855	1,16691	24,6126	52,3922
November	17	Traffic	South	18,0741	1,7	258,315	0,39515	23,7457	56,9585
November	18	Traffic	South	26,2014	0,9	269,641	2,24372	20,3044	77,1518
November	19	Traffic	South	33,2677	0	258,31	0,394247	19,6046	81,4395
November	20	Traffic	South	51,0613	0	245,532	0,746604	19,4417	82,1654
November	21	Traffic	South	42,7234	0	247,643	0,453016	19,2667	82,9915
November	22	Traffic	South	48,6637	0	254,57	0,284265	19,3058	82,0504
November	23	Traffic	South	53,3918	0	240,03	0,40568	19,1987	82,2265
November	0	Traffic	South	52,0977	0	257,831	0,663508	18,596	83,9163
November	1	Traffic	South	42,6339	0	259,96	0,180005	18,6544	84,0576
November	2	Traffic	South	39,0678	0	253,049	0,080383	18,555	84,6951
November	3	Traffic	South	33,157	0	272,448	0,27372	18,6304	84,7356
November	4	Traffic	South	42,621	0	349,71	0,248892	18,5661	83,3221
November	5	Traffic	South	34,2971	0	265,469	0,516609	18,2558	83,519
November	6	Traffic	South	37,7569	0	256,033	1,23388	17,5771	85,2172
November	7	Traffic	South	51,9209	0	247,917	0,273024	17,6058	83,4228
November	8	Traffic	South	43,8988	0	27,0849	0,0570001	19,191	78,7021
November	9	Traffic	South	51,3871	0	79,288	0,401863	21,3086	70,3868
November	10	Traffic	South	58,9548	0	77,9254	0,543652	23,3069	59,5139
November	11	Traffic	South	45,9661	0	116,274	1,026	24,9025	50,2814
November	12	Traffic	South	54,6725	0	145,595	1,06439	26,2108	44,5204
November	13	Traffic	South	31,5961	0	173,63	1,20778	26,2825	47,4051
November	14	Traffic	South	25,4667	0	175,073	2,65326	25,6575	51,316
November	15	Traffic	South	10,8924	0	203,259	3,09776	25,0574	52,0724
November	16	Traffic	South	8,5443	0	283,827	1,08633	27,6096	42,3381
November	17	Traffic	South	32,9308	0	208,554	0,637237	27,3724	43,0131
November	18	Traffic	South	15,6651	0	239,62	1,73894	23,7629	55,8275
November	19	Traffic	South	5,9897	0	226,147	1,37062	22,0225	66,2692
November	20	Traffic	South	33,3955	0	237,535	1,34219	20,7294	73,1532
November	21	Traffic	South	45,2083	0	247,175	1,1654	19,9888	75,5851
November	22	Traffic	South	38,0105	0	251,848	0,831737	19,5296	77,6572
November	23	Traffic	South	48,7049	0	263,354	0,352685	19,5532	78,6908
November	0	Traffic	South	39,1622	0	261,063	0,154644	19,2599	79,8764
November	1	Traffic	South	33,1924	0	260,815	0,530529	18,9417	81,6413
November	2	Traffic	South	31,9785	0	258,041	0,17839	18,6819	82,4528
November	3	Traffic	South	42,6315	0	270,109	0,16342	18,6378	83,1665
November	4	Traffic	South	33,141	0	276,6	0,149544	18,4896	82,7767
November	5	Traffic	South	33,1457	0	284,029	0,150237	18,531	82,3957
November	6	Traffic	South	39,1064	0	313,236	0,03069	18,8435	81,0453
November	7	Traffic	South	49,813	0	203,541	0,0719547	19,0849	80,5839
November	8	Traffic	South	51,1309	0	329,449	0,0603183	19,8408	77,6526
November	9	Traffic	South	64,4487	0	65,6916	0,32852	20,9258	71,4701
November	12	Traffic	South	71,1843	0	137,216	1,68571	24,1336	54,5857
November	13	Traffic	South	39,8041	0	149,836	0,432998	24,0529	54,5581
November	14	Traffic	South	5,9694	0,9	277,086	0,996755	21,0194	68,6018
November	15	Traffic	South	20,1905	0,1	320,072	0,165606	19,4915	70,5831
November	16	Traffic	South	36,8796	0	139,621	0,154257	19,9821	71,1937
November	17	Traffic	South	38,1705	0	225,72	0,211734	20,7618	66,8233
November	18	Traffic	South	33,3444	0	206,619	0,179953	20,2794	71,0889
November	19	Traffic	South	61,7329	0	209,522	0,387987	19,3676	76,4443
November	20	Traffic	South	58,106	1,4	217,575	2,02494	19,0392	78,6572
November	21	Traffic	South	44,8797	3,4	222,947	1,91947	17,8579	85,4604
November	22	Traffic	South	47,2148	1,6	248,234	0,481656	17,6919	86,2133
November	23	Traffic	South	48,357	0,2	256,23	0,155864	17,4628	86,3483
November	0	Traffic	South	30,6307	0,6	282,086	0,12121	17,1336	88,0268
November	1	Traffic	South	34,1706	1,8	250,092	0,204685	17,1808	86,946
November	2	Traffic	South	29,4412	2	256,681	0,52524	17,0211	86,2171
November	3	Traffic	South	28,2377	3,7	236,43	0,22339	16,7557	86,1125
November	4	Traffic	South	28,2066	3,7	209,148	0,178722	16,4367	88,1654
November	5	Traffic	South	41,1283	1,8	253,03	0,187465	16,3922	88,9664
November	6	Traffic	South	41,1274	1,2	240,01	0,164092	16,3857	88,9337
November	7	Traffic	South	51,7083	0,7	245,959	0,135671	16,4154	88,0832
November	8	Traffic	South	55,3353	0,1	240,669	0,110781	16,947	83,9882
November	9	Traffic	South	39,0297	0,1	58,9752	0,0843533	18,2706	78,83
November	10	Traffic	South	32,0993	0	16,9084	0,144713	19,7843	71,6483
November	11	Traffic	South	52,3976	0	23,2873	0,170627	20,2751	70,4185
November	12	Traffic	South	56,2604	0	161,282	0,833448	21,7971	61,5406
November	13	Traffic	South	26,5058	0	172,358	1,49971	23,7132	53,1813
November	14	Traffic	South	28,8934	0	186,275	2,56508	23,4878	53,0367
November	15	Traffic	South	40,9423	0	183,66	3,09825	23,5599	54,1296
November	16	Traffic	South	19,1954	0	176,274	2,21924	22,4579	59,3919
November	17	Traffic	South	19,1252	0	192,625	2,54085	21,3764	63,7914
November	18	Traffic	South	23,8864	0	187,464	1,38301	21,1293	65,7642
November	19	Traffic	South	29,7867	0	200,792	2,22797	20,4267	69,1876
November	20	Traffic	South	24,9974	0	232,587	1,00292	20,1511	70,2628
November	21	Traffic	South	41,5769	0	295,952	1,0279	19,55	71,9325
November	22	Traffic	South	28,4281	0	328,006	0,379714	18,7104	76,68
November	23	Traffic	South	28,4142	0	344,313	0,164541	18,5678	78,1936
November	0	Traffic	South	28,3575	1,1	260,585	0,117321	17,9862	83,9768
November	1	Traffic	South	44,8233	3,1	265,022	0,169246	17,4928	88,0533
November	2	Traffic	South	41,2731	0,7	251,469	0,37446	17,4117	84,749
November	3	Traffic	South	36,5497	0,6	211,724	1,32765	17,3597	82,295
November	4	Traffic	South	24,7243	2,6	219,077	0,939811	16,9467	84,4971
November	5	Traffic	South	31,7671	2,7	222,194	0,795729	16,7529	86,636
November	6	Traffic	South	48,2254	0,4	212,156	0,141499	16,6714	87,2293
November	7	Traffic	South	49,4297	0,1	207,204	0,123182	16,8365	86,6214
November	8	Traffic	South	51,9843	0	208,892	0,0477818	17,9607	81,446
November	9	Traffic	South	46,3532	0	7,59313	0,117251	19,7057	73,7964
November	10	Traffic	South	48,8735	0	24,5805	0,0998216	20,5665	68,7569
November	11	Traffic	South	50,3599	0	47,5928	0,374447	22,2936	61,6597
November	12	Traffic	South	49,4804	0	196,829	1,57672	24,2142	50,2565
November	13	Traffic	South	32,6696	0	194,191	2,42319	24,9894	46,1568
November	14	Traffic	South	38,6634	0	190,121	3,16813	24,5571	49,4757
November	15	Traffic	South	32,5562	0	206,152	2,48386	23,9546	52,5243
November	16	Traffic	South	8,3851	0,4	271,497	1,39281	22,0051	63,7262
November	17	Traffic	South	31,313	0	182,835	2,12196	23,5993	56,2631
November	18	Traffic	South	21,5863	0	181,543	1,941	22,3407	61,3564
November	19	Traffic	South	23,7946	2,2	206,493	0,995351	19,9983	73,8307
November	20	Traffic	South	33,119	1,5	238,267	0,362095	18,2962	84,2614
November	21	Traffic	South	39,0259	0,4	230,403	0,527342	18,2421	82,4542
November	22	Traffic	South	41,3947	0	236,386	1,02614	18,2674	80,4099
November	23	Traffic	South	36,6665	0	234,024	0,931796	18,2885	78,4221
November	0	Traffic	South	27,2172	0	246,451	0,580067	18,4279	75,4339
November	1	Traffic	South	23,6416	0	222,826	1,07351	18,1129	77,184
November	2	Traffic	South	31,8957	0	240,892	1,86607	17,9269	77,3664
November	3	Traffic	South	35,4191	0	242,392	0,500143	17,7574	76,544
November	4	Traffic	South	22,4208	0	233,088	2,04311	17,6112	76,5439
November	5	Traffic	South	33,0382	0	216,128	1,96379	17,5847	76,4276
November	6	Traffic	South	34,2125	0	214,516	2,57294	17,5371	76,6835
November	7	Traffic	South	35,4051	0	224,329	1,84817	17,6428	76,3514
November	8	Traffic	South	51,0537	0	218,013	1,38985	19,3982	68,4924
November	9	Traffic	South	38,3433	0	187,104	0,529856	22,0925	56,6165
November	10	Traffic	South	31,2545	0	161,554	1,85579	23,0454	51,8396
November	11	Traffic	South	24,0511	0	173,177	2,57805	23,1582	51,7022
November	12	Traffic	South	45,7122	0	167,64	2,31288	23,256	51,5893
November	13	Traffic	South	51,7841	0	168,364	2,35446	23,5839	51,8942
November	14	Traffic	South	33,7306	0,3	156,193	1,77992	23,6783	53,4318
November	15	Traffic	South	37,4235	0	173,222	0,991861	24,3054	53,0454
November	16	Traffic	South	28,9663	0	184,443	2,0608	24,236	51,7346
November	17	Traffic	South	15,5488	0	324,587	1,95996	21,5582	65,6646
November	18	Traffic	South	3,572	0	49,5055	0,98047	20,2304	72,7883
November	19	Traffic	South	3,5645	0	355,75	0,158298	19,6167	76,6908
November	20	Traffic	South	35,6123	0,5	230,02	0,236458	19,3444	80,6739
